Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",932.418,865.759,523.232,1803.219,2997.747,467.899,356.837,253.585,931.693,1335.395,464.519,508.922,269.647,871.526,1662.352,41.724,11.421,47.703,7.92,4.1,41.724,11.521,47.703,7.97,4.1,7519.0,7727.0,6141.0,6948.0,6702.0,595.11,646.144,657.083,756.987,1247.658
Sector 21 Minería,25341.004,47021.426,,,,914.389,11064.209,,,,24426.615,35957.217,,,,76.747,11994.865,,,,42.384,13211.518,,,,6596.0,5029.0,,,,19931.599,20417.836,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",16439.577,25629.206,3093.55,5574.368,12325.559,10400.302,12568.941,707.159,3073.926,6396.588,6039.275,13060.265,2386.391,2500.442,5928.971,7708.379,1854.974,269.125,110.786,501.453,7655.374,1602.694,266.171,109.666,473.406,8233.0,10292.0,6027.0,5972.0,6559.0,33119.401,69076.854,5167.394,7079.6,23389.633
Sector 23 Construcción,6049.334,13878.761,8880.093,11894.567,15346.353,3808.947,9373.397,5720.102,7433.774,9608.619,2240.387,4505.364,3159.991,4460.793,5737.734,139.227,412.471,72.833,40.309,67.717,101.329,343.16,88.483,44.795,49.245,28266.0,34631.0,18993.0,17846.0,17457.0,1481.704,3909.787,3470.158,3302.296,5334.157
Sector 31-33 Industrias manufactureras,96277.896,234673.053,273028.104,369691.382,424321.277,58345.971,176066.237,204276.796,252416.81,220807.855,37931.925,58606.816,68751.308,117274.572,203513.422,8363.98,3228.079,3605.655,12245.686,4289.126,4043.556,2861.59,4779.24,12172.824,5527.568,211921.0,234244.0,233488.0,323720.0,343428.0,37750.322,54800.88,97495.394,95927.72,109687.173
Sector 43 Comercio al por mayor,10628.623,12207.715,14429.135,29393.112,41402.549,3748.908,4587.367,5225.092,6281.601,9914.645,6879.715,7620.348,9204.043,23111.511,31487.904,488.59,684.86,547.909,1401.057,177.254,245.712,323.405,362.62,1822.578,790.322,27204.0,30570.0,31309.0,32014.0,37286.0,7007.225,5593.569,7075.31,13418.205,12899.327
Sector 46 Comercio al por menor,16474.64,21426.496,28071.414,58086.3,84470.252,4668.041,8797.764,9966.361,16975.727,20098.139,11806.599,12628.732,18105.053,41110.573,64372.113,1192.868,1543.731,-6332.931,2105.828,3032.429,427.09,1073.852,-6954.435,1996.167,1632.811,129274.0,144891.0,140266.0,153444.0,178017.0,8051.845,13006.105,17263.234,34237.037,33272.564
"Sector 48-49 Transportes, correos y almacenamiento",9994.676,15114.331,23768.457,32921.02,54171.161,5092.203,6483.088,13136.811,16164.073,23879.09,4902.473,8631.243,10631.646,16756.947,30292.071,638.8,1407.009,2501.516,842.441,3399.521,627.924,1405.229,2428.77,872.21,3399.495,24333.0,27390.0,39845.0,52764.0,69398.0,6524.753,14292.584,28128.609,31769.652,45604.882
Sector 51 Información en medios masivos,2725.835,11903.121,2702.26,7825.736,4705.426,1557.46,7344.262,1266.528,3232.569,2102.595,1168.375,4558.859,1435.732,4593.167,2602.831,180.324,922.87,-9.899,594.127,21.753,149.952,662.812,3.17,594.934,21.809,6710.0,9278.0,5351.0,7413.0,6544.0,2625.858,7000.062,808.92,1842.055,826.098
Sector 52 Servicios financieros y de seguros,659.363,614.282,1315.937,2860.975,3741.724,292.207,279.858,405.414,1936.323,2006.464,367.156,334.424,910.523,924.652,1735.26,15.422,22.551,7.437,21.942,45.012,13.476,19.407,9.018,21.092,51.686,1931.0,3086.0,3284.0,6410.0,5093.0,147.793,157.138,188.525,438.589,932.395
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2212.004,2837.83,2021.337,2812.837,4206.979,910.865,1729.314,1173.595,1272.911,1413.762,1301.139,1108.516,847.742,1539.926,2793.217,558.605,46.452,50.292,89.352,119.164,606.944,48.967,50.416,87.09,117.201,6086.0,7225.0,6600.0,6685.0,8097.0,6404.158,1227.78,1645.143,3162.69,2831.51
"Sector 54 Servicios profesionales, científicos y técnicos",3154.653,4392.142,3774.911,3584.638,4319.106,1161.248,1671.081,2559.136,1345.755,1539.266,1993.405,2721.061,1215.775,2238.883,2779.84,363.096,72.554,42.96,42.842,4.005,361.907,73.142,46.518,43.141,15.208,9179.0,14393.0,11289.0,12862.0,11329.0,1956.386,1474.128,1590.364,1383.162,1313.017
Sector 55 Dirección y administración de grupos empresariales o corporativos,587.214,214.238,,,,117.252,120.124,,,,469.962,94.114,,,,2.542,1.418,,,,2.542,1.368,,,,4965.0,15.0,,,,20.323,10.063,,,
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3001.039,5205.444,6081.492,10524.495,6143.486,1512.369,1217.208,2149.334,3438.706,2069.496,1488.67,3988.236,3932.158,7085.789,4073.99,55.36,32.49,61.579,87.827,132.616,56.849,36.752,59.029,90.027,134.784,18421.0,28543.0,30234.0,30926.0,14044.0,554.213,684.679,2745.437,2086.221,2387.833
Sector 61 Servicios educativos,1772.508,2431.815,4728.477,5991.044,6609.836,444.961,715.51,1370.945,2098.043,1683.369,1327.547,1716.305,3357.532,3893.001,4926.467,78.148,116.187,268.559,59.525,139.001,76.55,115.522,269.771,60.759,144.406,14921.0,17644.0,22744.0,24747.0,20772.0,1046.679,1911.295,2872.49,3594.093,5077.955
Sector 62 Servicios de salud y de asistencia social,1145.697,2021.816,2596.282,4692.46,8782.571,499.422,943.242,1233.337,2413.557,3530.62,646.275,1078.574,1362.945,2278.903,5251.951,34.646,67.005,96.265,115.926,162.143,33.789,67.065,91.989,114.574,156.393,9716.0,16791.0,16916.0,20148.0,23132.0,937.993,1463.946,1817.903,2968.356,3650.653
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",473.573,648.307,963.543,951.789,1737.821,249.908,267.0,444.025,393.366,655.918,223.665,381.307,519.518,558.423,1081.903,9.906,12.346,37.985,29.198,80.492,8.912,12.109,37.572,28.218,80.426,2429.0,3715.0,3723.0,4638.0,5554.0,377.592,744.729,733.082,1475.02,1943.34
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4939.018,7408.881,8654.009,15092.473,27484.314,2741.372,4052.713,5072.532,8734.941,13335.273,2197.646,3356.168,3581.477,6357.532,14149.041,166.488,87.119,112.957,191.238,113.75,104.851,85.28,115.698,187.685,110.87,38288.0,47588.0,45166.0,58235.0,69550.0,3135.405,4246.173,4082.192,6432.823,8785.752
Sector 81 Otros servicios excepto actividades gubernamentales,3047.909,3829.704,5396.023,8710.349,12389.422,2114.257,2563.702,2353.6,4078.46,4858.883,933.652,1266.002,3042.423,4631.889,7530.539,117.655,95.137,140.521,122.397,85.486,109.694,88.998,116.415,125.289,97.508,33215.0,42373.0,41099.0,49132.0,51903.0,2293.18,2937.489,2953.122,4421.209,4714.819
Total Tamaulipas,205856.981,412324.327,423644.083,609593.763,725197.485,99047.981,250201.854,260256.13,333817.107,326224.884,106809.0,162122.473,163387.953,275776.656,398972.601,20232.507,22613.539,4616.614,24685.828,12740.555,14710.559,22044.391,4914.052,24953.233,14057.92,589207.0,685425.0,665731.0,816605.0,875866.0,133961.539,203601.241,201935.7,241187.556,267425.35
checksum,205856.981,412324.327,390028.256,572410.764,715155.583,99047.981,250201.854,257314.352,332222.235,325235.977,106809,162122.473,132713.904,240188.529,389919.606,20232.507,22613.539,1520.466,18108.401,12375.022,14710.559,22044.391,1818.148,18379.019,12807.238,589207,685425,662475,813904,874865,133961.539,203601.241,178694.36,214295.715,263898.766
