Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.522,0.435,5.333,1.7,1.275,0.388,0.357,3.048,1.816,1.267,0.684,0.48,7.476,1.545,1.27,0.451,1.857,1.338,4.545,49.333,0.451,1.857,1.338,4.545,49.333,1.605,1.884,3.636,3.333,2.357,1.017,1.282,7.464,2.826,2.957,0.248,0.348,3.037,1.234,0.707,1.682,0.462,3.056,2.111,2.269,C,0.829,1.576,6.636,1.553,0.367,1.37,2.333,2.429,2.88,1.103,1.489,2.872,2.583,2.270
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,15.750,12.778,13.000,11.800,0.000
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,13.250,11.300,15.353,16.824,21.765
Sector 23 Construcción,4.735,4.971,7.115,5.955,7.5,4.939,5.515,7.458,5.955,8.333,4.27,3.784,6.759,5.417,6.222,7.967,-1.378,-2.538,-2.353,-16.667,6.969,-1.767,1.737,-0.833,-25.0,5.14,3.469,7.03,5.885,4.68,3.133,2.057,7.258,4.586,4.286,5.805,7.875,5.154,6.588,6.609,3.871,1.891,4.074,3.216,1.067,,0.358,3.727,5.45,1.333,4.333,4.935,4.9,6.379,3.594,4.400,5.810,6.686,4.833,4.800
Sector 31-33 Industrias manufactureras,0.629,0.25,0.4,0.265,0.3,0.394,0.154,0.366,0.152,0.308,0.9,0.575,0.525,0.459,0.289,0.375,0.222,0.633,0.071,0.684,1.034,0.281,0.212,0.066,0.478,1.0,0.8,0.957,0.78,0.604,0.517,0.333,0.403,0.369,0.22,0.361,0.12,0.067,0.031,0.588,0.615,0.66,0.94,0.617,0.22,C,0.685,0.172,0.514,0.085,0.867,0.543,0.6,0.531,0.655,7.714,7.737,9.000,9.600,10.125
Sector 43 Comercio al por mayor,2.964,4.385,6.696,5.042,7.211,2.0,4.2,6.81,5.941,8.059,3.481,4.615,6.667,4.885,6.85,2.423,2.333,7.429,21.167,-493.0,1.946,4.043,6.692,7.722,1.282,4.393,4.357,6.167,6.25,5.762,3.815,3.871,5.25,6.417,4.636,2.953,4.657,4.966,7.125,7.52,4.514,4.244,4.6,2.76,2.12,C,4.265,3.636,1.3,5.889,0.565,3.152,5.483,10.727,12.0,5.654,5.280,6.571,6.526,6.474
Sector 46 Comercio al por menor,3.222,3.5,3.97,3.788,4.033,3.5,3.382,3.938,3.545,3.552,3.108,3.622,4.061,3.879,4.097,3.158,3.706,0.227,1.069,1.98,2.968,3.371,0.058,1.155,3.595,4.0,4.448,5.0,5.192,4.846,3.395,4.0,4.667,3.865,3.719,5.212,5.061,5.793,5.464,3.355,2.479,2.34,2.841,2.841,2.854,C,2.865,2.085,2.789,2.293,3.111,4.212,4.6,6.972,3.968,4.556,4.808,5.083,5.087,5.682
"Sector 48-49 Transportes, correos y almacenamiento",1.667,2.167,1.729,1.829,1.146,2.879,1.778,1.791,1.514,1.512,0.6,2.149,1.636,2.0,0.887,6.25,7.273,2.65,0.833,2.505,6.3,7.182,2.734,1.027,2.51,2.526,3.579,2.442,1.717,1.074,2.914,2.702,2.051,2.37,1.92,5.167,5.55,3.244,2.316,5.367,3.391,3.05,3.08,1.0,0.046,C,0.525,4.846,0.44,0.716,1.84,4.818,2.225,1.444,2.18,1.316,0.661,0.648,0.575,0.593
Sector 51 Información en medios masivos,7.2,14.926,40.2,4.385,14.0,4.308,12.556,43.333,7.5,19.2,13.286,19.5,29.333,2.391,9.9,5.667,21.316,,3.75,72.5,5.25,38.8,,3.75,71.5,6.667,9.688,14.632,5.1,5.476,23.5,25.286,26.4,24.0,3.875,5.882,12.394,4.652,10.6,3.421,4.636,16.808,16.5,9.636,13.0,C,6.211,12.773,5.19,13.167,8.0,31.056,123.667,32.0,147.0,2.783,4.000,6.121,5.600,7.320
Sector 52 Servicios financieros y de seguros,42.0,113.0,34.0,55.0,52.0,7.5,69.0,48.0,23.25,21.5,53.0,149.0,27.5,147.0,123.0,0.5,14.5,,72.0,226.5,0.25,17.5,48.0,78.0,197.0,12.714,16.0,16.571,10.6,17.625,21.0,45.5,60.0,48.0,40.667,4.303,32.25,4.833,5.667,30.0,9.0,18.4,15.571,2.733,9.222,C,24.4,11.889,3.105,9.733,12.333,41.5,56.0,45.0,82.0,1.587,3.056,3.333,2.605,3.368
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.484,1.387,3.136,2.286,3.765,1.25,1.265,2.0,2.0,4.833,1.559,1.536,4.857,2.643,3.238,0.33,6.818,15.333,-0.615,1.579,0.115,6.0,13.353,-1.071,1.5,2.824,3.806,3.962,4.45,4.458,0.574,1.436,6.316,2.333,3.048,2.607,1.091,2.967,1.76,2.053,0.881,0.846,4.545,1.857,7.385,C,2.542,7.0,1.652,8.091,0.462,9.143,4.043,3.526,6.188,3.541,4.719,5.036,4.286,4.625
"Sector 54 Servicios profesionales, científicos y técnicos",1.885,2.769,2.478,6.833,8.714,2.571,3.87,1.241,5.167,8.538,1.484,2.103,6.867,7.833,9.143,0.092,4.654,8.308,2.812,95.0,0.082,4.885,7.615,5.222,9.071,7.158,5.6,7.263,7.0,8.0,5.769,2.64,8.133,7.0,6.867,6.185,3.795,0.441,6.632,8.4,2.703,2.0,0.745,3.458,4.714,C,2.821,0.214,4.053,4.857,0.656,3.182,2.375,7.462,6.864,4.676,4.970,5.593,5.333,6.040
Sector 55 Dirección y administración de grupos empresariales o corporativos,C,0.0,C,C,C,C,0.0,C,C,C,C,,C,C,C,C,,C,C,C,C,,C,C,C,C,0.0,C,C,C,C,0.0,C,C,C,C,0.0,C,C,C,C,0.0,C,C,C,C,0.0,C,C,C,C,,C,C,C,5.435,0.000,0.000,0.000,0.000
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5.409,1.5,4.722,3.8,6.0,5.548,2.294,3.3,2.562,5.462,3.882,1.292,5.938,4.333,6.067,4.55,16.0,22.0,8.933,3.0,3.435,12.375,20.0,10.062,2.941,6.087,2.619,4.944,4.846,5.0,3.421,1.318,6.353,6.231,4.05,2.366,1.957,4.444,3.121,6.778,5.75,2.864,1.25,3.0,7.4,C,2.687,0.667,0.818,34.692,7.737,4.667,0.769,2.81,2.8,7.091,5.417,5.500,5.706,7.647
Sector 61 Servicios educativos,3.68,3.125,3.147,3.4,4.48,3.0,2.682,4.6,2.094,4.696,3.96,3.417,2.641,4.172,4.385,10.692,10.32,3.687,-12.9,2.316,9.929,10.36,3.667,-12.7,2.158,3.31,3.179,3.6,4.033,4.852,3.208,2.92,2.667,4.148,4.25,3.682,6.688,4.864,0.263,2.8,1.773,2.032,2.0,1.837,1.909,C,3.636,2.524,5.517,4.312,4.545,4.409,1.297,4.393,5.654,4.036,3.862,4.037,4.000,4.926
Sector 62 Servicios de salud y de asistencia social,2.654,2.926,2.958,3.36,3.5,2.875,3.083,2.905,3.042,3.815,2.345,2.8,2.926,3.519,3.241,8.286,2.167,5.389,2.875,1.621,8.286,2.278,5.111,2.75,1.6,3.741,3.897,3.643,4.0,4.111,2.0,2.387,2.536,2.379,2.8,3.474,1.771,3.226,3.926,3.583,1.132,1.644,1.571,1.907,2.605,C,2.128,2.379,2.121,3.1,2.714,4.958,4.25,4.923,6.727,3.143,3.750,4.107,3.667,4.630
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7.9,12.0,7.333,15.5,11.0,6.333,10.4,5.25,20.667,10.727,9.25,11.294,7.895,11.273,11.75,4.333,0.833,6.917,4.417,9.833,1.333,0.8,6.667,3.846,9.44,10.0,7.474,7.875,7.294,7.619,12.857,12.294,13.273,11.333,10.0,9.471,8.167,5.476,25.1,24.375,5.682,6.778,3.875,23.6,5.722,C,3.364,4.357,2.941,2.789,26.667,20.786,4.727,11.933,11.056,7.350,7.905,6.136,3.960,4.310
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.871,3.731,4.625,4.905,4.792,3.071,4.174,5.091,5.143,4.875,2.629,3.267,4.231,4.619,4.56,0.929,19.25,7.938,8.538,24.222,1.818,21.857,7.625,7.0,24.667,3.097,4.185,5.391,5.5,5.652,1.947,2.606,3.233,4.115,4.833,5.0,5.56,5.5,6.773,8.579,2.286,2.571,3.964,3.687,3.375,3.261,2.484,2.643,3.48,3.64,3.778,7.5,8.733,5.688,6.562,4.321,5.037,5.739,5.636,5.792
Sector 81 Otros servicios excepto actividades gubernamentales,3.031,5.2,2.897,2.484,3.065,1.304,6.625,3.346,2.966,3.25,9.579,-2.176,2.531,2.091,2.939,2.184,3.062,4.387,8.579,-117.5,1.8,3.121,5.667,7.75,5.486,3.4,3.486,3.333,4.0,3.774,3.182,3.364,2.676,3.121,2.441,2.2,1.833,2.244,1.732,3.033,1.615,6.556,2.227,2.541,2.8,C,4.625,2.372,1.952,2.912,3.205,3.8,4.179,3.926,5.739,3.778,3.639,3.758,3.710,4.032
checksum,1.281,1.162,C,C,C,1.091,0.833,C,C,C,1.406,1.8,C,C,C,0.576,0.87,C,C,C,0.655,0.745,C,C,C,2.611,2.765,C,C,C,1.514,1.651,C,C,C,0.78,0.481,C,C,C,1.647,1.939,C,C,C,3.261,1.486,C,C,C,0.865,1.706,C,C,C,4.571,4.815,5.080,5.130,5.417
