Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.103,0.044,0.103,0.056,0.081
Sector 21 Minería,0.0,C,C,C,C,0.059,C,C,C,C,0.0,C,C,C,C,0.079,C,C,C,C,-0.0,C,C,C,C,0.056,C,C,C,C,0.0,C,C,C,C,0.195,C,C,C,C,0.0,C,C,C,C,,C,C,C,C,0.0,C,C,C,C,9.000,4.222,13.000,23.600,0.000
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,1.000,0.950,2.529,1.176,1.118
Sector 23 Construcción,2.294,1.529,2.077,4.864,12.438,2.303,1.515,2.083,4.227,13.867,2.243,1.514,2.069,5.5,10.167,2.767,0.405,-1.769,39.588,23.444,3.281,0.186,0.579,35.667,3.75,1.814,1.449,2.424,5.0,5.52,1.578,1.17,2.613,4.759,7.095,1.902,0.667,1.564,3.824,6.783,2.613,1.152,7.148,1.622,7.733,,0.321,2.318,4.3,14.5,1.31,0.935,1.45,2.552,3.719,1.840,2.452,2.943,3.583,3.767
Sector 31-33 Industrias manufactureras,1.514,0.667,0.975,1.588,3.033,1.0,0.288,0.659,0.97,2.308,2.125,2.075,1.825,2.757,3.289,0.15,4.407,3.7,0.554,13.368,0.424,2.406,2.576,0.508,9.13,2.02,1.86,2.261,1.94,2.75,1.897,1.727,2.048,1.508,2.186,0.295,0.096,0.034,0.103,3.206,1.846,1.396,2.22,1.66,1.644,,0.907,1.75,1.771,0.592,1.233,1.171,0.933,1.938,3.483,5.286,4.053,4.529,5.600,4.312
Sector 43 Comercio al por mayor,2.929,4.462,4.435,4.375,4.895,2.161,4.28,4.667,5.412,5.235,3.37,4.692,4.333,4.154,4.7,2.654,4.958,3.81,26.167,43.0,0.757,2.652,3.769,7.778,0.379,3.429,3.357,4.292,4.5,4.714,4.222,3.581,4.393,4.042,4.409,1.395,2.714,4.138,8.312,2.36,1.919,1.634,2.52,3.76,1.52,,2.324,1.409,1.3,5.611,0.42,2.667,3.034,10.273,5.25,3.308,3.400,3.667,4.632,4.632
Sector 46 Comercio al por menor,3.556,3.556,3.364,3.576,4.2,3.647,3.882,3.719,3.424,4.172,3.514,3.378,3.242,3.636,4.129,3.211,4.559,-2.145,2.517,3.245,5.806,4.943,-1.195,1.535,2.905,3.656,3.931,4.074,4.385,4.115,3.158,3.105,2.667,3.811,3.844,3.576,3.091,4.345,4.107,3.032,2.937,3.0,2.727,2.5,2.634,,2.649,1.915,2.132,2.805,3.556,4.212,5.0,2.333,3.968,4.519,4.231,4.292,4.522,4.273
"Sector 48-49 Transportes, correos y almacenamiento",11.472,11.111,6.729,7.439,6.604,11.818,17.963,8.558,9.216,6.349,10.95,7.149,4.873,5.745,6.642,1.775,14.0,2.35,3.417,2.732,1.775,14.045,2.443,3.189,2.781,9.737,9.974,6.577,7.019,8.074,11.886,7.362,6.068,7.204,8.64,9.5,23.45,9.683,10.105,9.767,17.087,19.5,15.84,17.556,0.55,,2.339,16.115,7.72,3.716,10.4,11.545,5.45,4.222,4.86,8.711,8.071,5.958,5.301,7.220
Sector 51 Información en medios masivos,12.9,C,24.6,C,17.143,7.154,C,44.0,C,24.0,25.143,C,12.778,C,11.9,3.222,C,,C,18.0,4.5,C,,C,16.5,4.222,C,6.684,C,4.524,19.5,C,9.1,C,4.25,4.647,C,19.739,C,7.684,6.818,C,13.3,C,12.727,,C,3.591,C,20.667,7.182,C,34.333,C,114.0,2.543,3.263,3.939,6.160,5.760
Sector 52 Servicios financieros y de seguros,122.0,84.0,35.5,54.0,55.0,31.75,105.0,51.5,21.75,23.75,118.0,66.0,28.5,152.0,128.0,61.75,21.0,,74.0,42.0,62.25,12.0,97.0,69.0,36.5,20.286,19.0,20.143,17.3,15.5,74.5,58.0,66.5,66.5,38.667,7.333,29.5,6.75,19.111,18.2,31.333,20.8,16.143,5.333,13.222,,22.0,2.944,2.368,10.067,61.667,36.0,76.0,49.0,11.75,3.739,3.417,4.758,4.053,3.895
