Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.06,0.63,1.238,0.275,0.125,0.025,0.452,1.143,0.184,0.067,0.088,0.7,1.381,0.364,0.162,0.012,-0.357,0.013,0.182,-0.0,0.012,0.286,0.013,0.182,-0.0,0.237,0.442,0.606,0.7,0.786,0.034,0.462,1.0,0.913,0.261,0.017,0.145,0.741,0.039,0.034,0.076,0.205,4.75,8.389,0.077,C,0.029,0.492,2.318,0.342,0.033,0.087,1.0,0.536,0.96,1.154,1.844,2.103,1.833,2.297
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,9.000,21.333,13.000,11.800,26.333
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,12.250,12.250,15.353,14.412,12.000
Sector 23 Construcción,0.529,0.294,0.346,C,0.125,0.545,0.303,0.333,C,0.133,0.514,0.27,0.379,C,0.167,1.533,0.432,0.308,C,-0.0,1.656,0.372,0.211,C,C,0.674,0.408,0.545,C,0.24,0.289,0.264,0.548,C,0.143,0.902,0.458,0.667,C,0.13,0.935,0.261,0.407,C,0.067,C,0.189,0.682,C,0.125,0.69,0.565,0.475,C,0.125,1.220,1.190,1.400,0.500,1.267
Sector 31-33 Industrias manufactureras,0.6,0.167,0.275,0.294,0.233,0.667,0.135,0.293,0.303,0.308,0.45,0.2,0.175,0.216,0.158,0.062,-0.556,0.067,-0.071,3.158,-0.102,0.406,0.061,0.016,1.391,0.48,0.42,0.391,0.3,0.25,0.293,0.212,0.177,0.2,0.102,0.557,0.12,0.022,0.072,0.412,0.173,0.151,0.16,0.149,0.051,C,0.444,0.062,0.286,0.042,0.367,0.486,0.222,0.438,0.379,4.619,5.316,6.176,6.400,6.125
Sector 43 Comercio al por mayor,1.786,2.5,3.043,2.667,3.842,0.806,2.52,2.524,4.059,3.765,2.333,2.5,3.292,2.423,3.75,2.5,3.042,5.714,6.167,-77.0,1.054,3.0,1.885,0.722,0.278,2.357,2.607,2.875,3.95,3.429,2.593,2.226,2.536,3.083,3.0,1.209,2.629,2.276,4.188,3.44,1.027,1.098,1.76,1.92,0.88,C,3.206,0.773,0.667,1.056,0.348,2.0,1.586,4.636,5.417,3.615,3.440,3.571,4.579,5.105
Sector 46 Comercio al por menor,1.333,1.278,1.182,1.212,1.333,1.235,1.147,1.125,1.212,1.448,1.351,1.378,1.242,1.242,1.258,1.605,1.676,0.035,0.397,0.429,2.0,0.886,0.014,0.352,0.548,2.281,2.517,2.481,2.385,2.538,1.368,1.421,1.639,1.162,1.406,2.758,2.182,3.0,2.679,2.226,1.0,0.96,1.023,0.955,1.122,,1.108,0.532,1.026,0.707,1.472,1.394,1.433,1.528,1.452,3.481,3.385,3.667,3.739,3.955
"Sector 48-49 Transportes, correos y almacenamiento",0.917,0.333,0.458,0.366,0.271,1.242,0.63,0.651,0.486,0.326,0.625,0.17,0.273,0.255,0.245,0.775,0.273,0.2,-0.028,0.381,0.6,0.273,0.203,-0.027,0.385,1.474,0.579,0.654,0.264,0.352,0.886,0.17,0.407,0.204,0.34,1.972,1.8,0.659,0.789,0.967,1.609,0.5,0.64,1.167,0.023,C,0.051,0.731,0.16,0.119,1.72,0.864,0.225,0.204,0.44,1.605,0.446,0.296,0.315,0.339
Sector 51 Información en medios masivos,0.9,0.111,0.2,0.615,1.571,0.692,0.111,0.333,1.125,2.0,1.286,0.154,0.111,0.348,1.2,0.556,0.158,C,-0.0,0.0,1.0,0.333,C,0.0,C,0.63,0.312,0.053,0.9,0.476,1.375,0.143,0.1,2.857,0.375,0.676,0.424,0.087,1.8,0.211,0.5,0.577,0.4,0.727,0.818,C,0.316,0.045,0.143,0.667,0.909,0.389,2.667,2.0,15.0,1.435,1.789,2.364,3.800,4.160
Sector 52 Servicios financieros y de seguros,14.0,67.0,10.0,17.5,17.5,2.25,43.0,13.5,9.0,5.5,18.0,87.0,8.5,33.0,49.0,0.0,6.5,,18.0,19.5,-0.25,2.5,211.0,19.0,17.0,3.0,6.667,6.571,2.0,3.25,9.0,22.5,25.0,9.0,8.333,0.545,12.5,3.0,2.556,4.4,2.167,8.4,5.857,0.6,3.111,C,15.4,0.778,0.368,1.2,10.667,14.0,29.0,14.0,4.0,0.717,1.611,1.606,0.842,0.842
