Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",6.269,5.348,13.81,2.75,3.075,6.725,4.333,9.476,3.842,3.2,5.281,5.82,17.857,1.636,2.865,8.902,2.214,9.571,0.182,C,8.902,2.214,9.571,0.182,C,13.842,9.93,13.848,14.0,15.179,7.414,6.718,14.357,0.87,13.391,5.107,4.464,8.185,2.429,1.759,2.455,4.205,5.333,3.944,2.481,C,1.529,7.339,8.955,5.184,5.267,4.826,10.167,13.357,13.56,4.000,1.822,2.385,2.333,1.919
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,4.500,12.778,19.429,58.800,26.333
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,6.100,9.450,8.941,8.412,5.471
Sector 23 Construcción,3.529,5.588,4.692,5.227,8.188,3.03,5.788,5.125,5.091,7.933,4.162,5.054,4.207,5.0,8.389,1.367,3.919,2.077,7.824,5.444,1.375,3.349,2.947,6.167,6.75,2.651,4.0,3.03,4.269,4.68,3.467,4.604,3.484,4.793,5.143,2.317,2.562,2.744,2.147,5.87,4.419,1.565,2.852,3.541,3.133,C,0.34,6.909,6.5,8.25,1.714,2.804,2.875,2.966,3.687,2.920,3.524,4.286,5.333,7.200
Sector 31-33 Industrias manufactureras,5.286,1.917,2.2,3.824,4.933,3.0,1.154,1.537,2.848,4.269,7.9,4.7,4.1,5.622,4.947,1.162,10.519,7.433,1.268,10.053,2.881,6.469,5.182,1.131,6.13,6.26,5.6,6.391,5.78,5.562,5.086,3.758,3.774,4.246,4.339,0.623,0.506,0.124,0.289,3.971,4.962,3.887,5.1,5.511,3.915,C,2.352,2.406,6.8,1.606,4.133,3.2,2.689,4.844,4.552,8.381,10.474,11.706,14.000,13.750
Sector 43 Comercio al por mayor,7.179,4.962,4.522,3.708,7.947,4.065,6.68,5.048,8.706,9.059,8.926,4.077,4.292,2.808,7.5,7.038,6.75,5.333,54.0,-172.0,7.432,9.696,4.846,14.778,0.476,6.643,5.893,5.708,7.5,7.381,6.037,4.677,3.821,4.458,6.955,4.116,4.4,3.483,8.937,4.88,4.568,4.293,7.44,5.08,6.6,C,3.412,12.182,6.533,8.944,1.493,5.909,5.448,23.182,24.5,7.962,7.640,9.619,10.316,10.789
Sector 46 Comercio al por menor,4.417,4.25,4.576,5.242,6.267,5.088,4.882,4.969,5.182,5.586,4.135,3.919,4.455,5.242,6.355,4.605,4.824,-1.86,2.741,3.224,6.742,5.143,-1.078,2.0,3.429,5.719,6.276,6.444,6.346,7.308,4.342,3.632,4.0,4.162,5.688,4.576,6.061,5.379,5.25,4.742,4.083,3.46,3.864,4.682,3.512,,6.568,4.0,7.237,3.463,5.278,6.212,6.6,3.556,7.355,7.000,7.808,8.000,8.565,9.500
"Sector 48-49 Transportes, correos y almacenamiento",2.111,2.139,1.604,4.122,2.25,1.879,3.519,2.233,4.081,2.744,2.25,1.362,0.964,3.979,1.906,0.9,5.182,0.237,1.306,0.887,0.85,5.136,0.241,1.243,0.896,2.395,2.684,2.423,1.868,1.722,2.257,1.277,0.915,1.667,1.78,1.861,6.8,3.146,3.105,4.533,4.304,6.95,4.52,7.444,0.565,,3.627,3.346,1.86,0.881,2.88,4.136,1.275,1.333,1.48,3.421,2.732,2.113,2.110,2.458
Sector 51 Información en medios masivos,11.0,1.444,22.0,4.0,17.0,9.231,1.519,39.0,10.125,29.0,14.0,1.346,11.556,1.348,9.8,4.667,0.474,,6.5,128.0,6.125,0.8,,6.5,122.5,3.778,3.625,6.842,4.7,4.619,8.75,1.143,8.0,19.0,4.562,4.853,2.364,4.783,11.0,9.526,4.455,4.038,13.6,10.182,14.364,C,6.053,3.591,5.143,16.833,6.182,1.611,26.333,29.0,215.0,4.457,4.868,4.848,6.880,6.920
Sector 52 Servicios financieros y de seguros,163.0,227.0,59.0,95.0,95.0,42.25,259.0,97.5,39.0,51.75,158.0,200.0,42.0,261.0,170.0,12.5,29.5,,110.0,23.0,9.0,9.5,287.0,180.0,25.0,32.286,35.167,25.286,18.0,22.25,67.5,76.0,66.0,83.0,60.667,4.364,65.0,5.667,27.333,28.6,33.833,41.8,21.429,5.733,16.444,C,46.8,5.833,4.737,8.933,52.0,100.5,71.5,65.5,20.0,6.500,7.389,6.758,5.868,6.105
