Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,C,C,0.025,C,C,C,C,0.026,C,C,C,C,0.023,C,C,C,C,0.636,C,C,C,C,0.636,C,C,C,C,0.1,C,C,C,C,0.174,C,C,C,C,0.0,C,C,C,C,0.222,C,C,C,C,0.045,C,C,C,C,0.107,C,0.026,0.022,0.103,0.167,0.135
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,11.250,25.667,45.429,47.000,43.833
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,5.100,5.650,6.412,7.176,4.353
Sector 23 Construcción,7.735,8.853,8.462,10.818,10.562,8.091,9.273,8.708,11.455,10.333,6.919,7.865,8.207,8.917,10.611,11.7,20.486,1.0,-48.0,26.667,9.156,18.326,0.895,-39.167,34.25,4.209,3.51,4.879,7.5,8.52,5.422,3.132,5.032,7.724,11.619,4.512,4.646,4.179,11.853,8.696,8.871,4.565,10.963,8.811,6.378,,15.717,14.682,16.2,4.083,7.214,7.935,6.475,8.966,6.0,3.460,4.190,5.029,5.000,5.300
Sector 31-33 Industrias manufactureras,7.314,6.792,5.725,6.294,9.4,6.727,4.731,4.122,5.455,7.846,7.725,14.15,10.15,7.73,9.658,0.613,10.148,8.167,1.696,20.526,1.661,7.812,5.848,1.475,14.565,7.76,9.3,9.739,9.14,9.812,6.81,7.182,6.935,7.185,8.254,0.934,0.434,0.09,0.577,11.059,6.635,6.755,6.98,8.617,7.22,C,4.759,8.094,9.657,3.577,4.833,5.686,4.133,6.375,8.931,8.762,11.000,12.412,13.667,12.562
Sector 43 Comercio al por mayor,6.857,8.692,10.043,9.333,11.368,5.677,8.72,11.762,12.235,12.647,7.407,8.846,9.25,8.808,10.85,9.154,7.5,3.762,30.833,758.0,6.405,5.652,5.769,9.222,0.754,7.0,7.857,9.667,11.5,12.714,8.852,7.161,8.286,9.125,13.227,4.279,6.086,9.207,14.438,8.88,8.108,5.268,11.8,8.32,17.12,C,4.059,20.0,14.267,19.056,1.565,5.788,8.172,17.0,14.667,6.654,8.040,9.857,10.368,10.105
Sector 46 Comercio al por menor,6.389,6.556,7.061,8.0,8.567,6.618,6.647,7.469,7.545,9.414,6.27,6.595,6.939,8.182,8.129,4.632,5.853,-2.419,6.31,3.837,6.29,5.686,-1.334,5.014,5.786,6.344,7.621,8.667,8.923,9.731,5.553,6.316,6.5,6.189,8.344,4.879,5.424,6.483,7.429,11.871,4.396,5.02,5.864,5.682,6.805,,4.135,4.511,5.316,6.902,5.722,5.939,7.367,6.861,7.871,7.852,8.615,10.125,10.391,11.273
"Sector 48-49 Transportes, correos y almacenamiento",3.667,4.111,2.646,2.805,3.687,3.515,3.704,2.953,3.486,4.395,3.675,3.936,2.309,2.17,3.17,1.45,3.591,1.525,3.028,2.186,1.425,3.591,1.595,3.514,2.219,3.763,3.211,2.731,2.811,2.963,3.743,2.319,2.153,2.537,3.02,2.917,4.75,3.098,3.737,3.0,4.913,4.45,4.2,7.167,5.122,C,5.559,3.808,2.0,1.463,5.0,8.136,3.375,2.481,2.54,3.289,2.411,2.056,2.110,2.136
Sector 51 Información en medios masivos,14.8,4.111,52.8,50.077,50.143,9.769,4.185,95.0,76.625,62.2,25.286,4.115,27.333,29.478,38.3,49.111,1.316,,226.75,82.0,63.0,3.733,,226.25,88.5,10.519,5.0,9.316,22.65,21.238,22.5,2.286,31.0,22.286,38.5,5.882,7.485,7.826,148.0,15.474,7.318,2.538,26.3,34.0,21.455,C,16.526,9.318,12.429,38.333,9.273,2.667,85.667,337.0,180.0,3.478,5.237,5.121,6.160,6.520
Sector 52 Servicios financieros y de seguros,278.0,198.0,94.0,103.0,97.5,75.25,258.0,142.5,57.0,43.5,259.0,147.0,72.5,159.0,220.0,39.75,5.0,,132.0,12.5,22.25,19.0,244.0,148.0,16.0,38.429,37.833,35.571,21.1,25.25,135.0,97.0,150.0,96.0,68.667,5.121,30.25,4.417,36.667,34.0,40.833,57.4,31.571,23.267,21.0,,26.0,17.611,14.105,12.533,60.0,89.0,104.0,152.0,57.25,5.130,5.278,7.182,5.789,5.447
