Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.642,1.565,3.0,0.625,0.525,0.3,1.143,2.905,0.658,0.489,1.088,1.8,3.143,0.591,0.568,0.549,14.714,0.247,0.273,112.333,0.549,14.571,0.247,0.273,112.333,1.5,1.558,2.273,1.433,1.5,0.897,5.154,3.643,4.87,1.565,0.182,0.855,2.222,0.195,0.241,1.591,5.154,3.278,10.278,0.692,,1.8,1.627,8.364,1.132,0.483,0.87,1.056,1.5,2.68,4.385,2.778,1.949,2.972,2.324
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,9.000,4.222,0.000,0.000,8.833
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,5.100,4.700,6.412,6.000,5.471
Sector 23 Construcción,C,C,C,0.136,0.125,C,C,C,0.182,0.2,C,C,C,0.083,0.056,C,C,C,-0.412,1.333,C,C,C,-0.333,2.0,C,C,C,0.192,0.12,C,C,C,0.138,0.143,C,C,C,0.059,0.391,C,C,C,0.135,0.022,C,C,C,0.2,0.083,C,C,C,0.103,0.125,0.140,0.214,0.229,0.444,0.500
Sector 31-33 Industrias manufactureras,0.057,0.021,0.025,0.029,0.033,0.03,0.0,0.024,0.03,0.038,0.1,0.05,0.05,0.054,0.026,0.013,-0.259,0.033,0.018,0.0,0.0,0.031,0.03,0.016,0.0,0.28,0.16,0.109,0.1,0.062,0.121,0.045,0.048,0.031,0.017,0.016,0.012,0.0,0.0,0.059,0.077,0.038,0.04,0.043,0.017,,0.056,0.016,0.057,0.028,0.067,0.029,0.044,0.031,0.034,1.190,1.421,1.588,1.733,1.312
Sector 43 Comercio al por mayor,0.75,0.385,0.261,0.417,0.632,0.29,0.36,0.19,1.118,0.588,1.037,0.385,0.292,0.269,0.6,0.654,0.958,-0.048,-0.333,81.0,0.108,1.652,0.077,0.222,0.04,0.679,0.5,0.375,0.9,0.524,0.815,0.419,0.214,0.583,0.409,0.256,0.4,0.207,1.125,0.24,0.405,0.317,0.48,0.4,0.64,C,0.735,0.227,1.9,0.278,0.101,0.667,0.241,2.909,1.25,0.731,0.840,0.952,1.263,0.842
Sector 46 Comercio al por menor,0.611,0.472,0.545,0.545,0.867,0.5,0.471,0.438,0.455,1.069,0.622,0.486,0.606,0.606,0.774,0.421,0.676,0.017,0.379,-0.204,0.452,0.743,0.003,0.197,-0.167,0.75,0.897,0.852,0.923,0.846,0.526,0.5,0.528,0.514,0.562,0.848,0.97,0.966,0.679,0.71,0.625,0.42,0.727,0.432,1.659,,0.541,0.574,0.395,1.951,0.611,0.727,0.567,0.389,0.677,1.111,1.154,1.417,1.391,1.227
"Sector 48-49 Transportes, correos y almacenamiento",0.222,0.194,0.062,0.098,0.104,0.091,0.111,0.047,0.135,0.116,0.3,0.213,0.073,0.085,0.094,0.025,0.045,0.0,0.056,-0.0,0.025,0.045,0.0,0.027,0.0,0.237,0.158,0.096,0.113,0.074,0.343,0.128,0.068,0.093,0.08,0.028,0.15,0.049,0.211,0.167,0.957,0.9,0.28,0.333,0.023,,0.034,0.115,0.28,0.448,0.12,0.045,0.05,0.111,0.04,0.500,0.375,0.254,0.205,0.288
Sector 51 Información en medios masivos,0.4,0.037,0.4,C,C,0.231,0.037,0.667,C,C,0.571,0.0,0.222,C,C,0.111,0.0,,C,C,0.125,0.067,,C,C,0.556,0.188,0.474,C,C,1.125,0.143,0.2,C,C,0.294,0.424,0.174,C,C,0.364,0.154,0.5,C,C,C,0.211,2.227,C,C,0.091,0.0,1.333,C,C,1.109,0.921,1.879,1.280,1.600
Sector 52 Servicios financieros y de seguros,11.0,18.0,9.5,12.0,18.0,3.0,24.0,13.5,5.75,7.0,11.0,13.0,7.5,26.0,46.0,-0.25,C,,5.0,-1.5,0.5,C,10.0,5.0,53.0,3.714,2.333,3.143,1.7,2.5,9.5,7.0,11.0,8.0,6.0,0.485,4.0,1.417,1.111,3.4,5.167,2.8,3.0,0.733,2.0,C,3.0,0.611,0.579,0.933,6.667,8.5,54.5,16.5,4.0,1.087,1.000,1.303,1.053,0.842
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.097,0.452,0.455,0.357,0.294,0.143,0.441,0.261,0.308,0.5,0.088,0.393,0.714,0.5,0.238,0.0,0.727,0.2,0.462,-0.263,0.0,0.417,0.118,0.429,-0.25,0.5,0.774,0.731,1.0,0.625,0.128,0.179,0.368,0.238,0.333,0.036,1.218,0.267,0.04,0.105,0.476,0.462,1.045,0.714,1.231,C,0.458,0.944,0.391,1.091,0.058,2.0,0.87,1.158,1.5,0.784,1.281,1.536,1.393,0.938
"Sector 54 Servicios profesionales, científicos y técnicos",0.154,0.192,0.174,0.75,1.071,0.19,0.217,0.103,0.75,0.846,0.129,0.207,0.533,0.75,1.214,0.008,0.538,0.385,0.938,-231.4,0.008,0.5,0.385,1.667,-21.786,0.789,0.56,0.737,0.933,1.059,0.462,0.24,0.4,0.538,0.933,0.704,0.205,0.068,1.0,1.1,0.432,0.341,0.109,0.833,0.857,,0.333,0.036,0.632,0.679,0.115,0.303,0.344,1.385,1.0,0.794,0.818,1.000,1.292,1.240
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.0,0.0,0.056,0.067,0.0,0.0,0.059,0.05,0.125,0.077,0.0,0.0,0.062,0.0,0.0,0.1,0.429,2.5,0.333,0.0,0.087,0.375,2.0,0.0,C,0.043,0.095,0.111,0.154,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.222,0.121,0.056,0.125,0.136,0.125,0.235,0.2,C,0.062,0.033,0.091,0.077,0.053,0.167,0.038,0.095,0.067,0.409,0.458,0.850,1.118,1.000
Sector 61 Servicios educativos,0.12,0.208,0.059,0.133,0.08,0.167,0.409,0.04,0.062,0.043,0.12,0.125,0.051,0.172,0.077,0.077,0.0,0.0,0.0,0.0,0.071,0.0,0.0,C,0.0,0.517,0.5,0.2,0.367,0.148,0.208,0.2,0.083,0.259,0.083,0.136,0.188,0.364,0.011,0.1,0.295,0.258,0.081,0.102,0.068,C,0.091,0.048,0.138,0.062,0.091,0.091,0.081,0.179,0.038,0.607,0.517,0.519,0.500,0.407
Sector 62 Servicios de salud y de asistencia social,1.269,0.815,0.75,0.6,0.5,1.167,0.833,0.952,0.542,0.444,1.241,0.767,0.63,0.667,0.517,2.643,1.5,0.333,0.667,2.138,2.214,1.444,0.389,0.667,2.167,1.222,0.966,0.857,0.923,0.667,0.846,0.484,0.464,0.655,0.4,0.368,0.312,1.194,0.704,1.5,0.906,0.711,0.643,0.558,0.674,,0.385,0.586,0.545,0.533,1.5,1.333,1.375,1.115,1.318,1.086,1.250,1.429,1.259,1.000
