Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",7.254,13.435,22.381,18.5,19.0,4.95,17.048,29.81,18.763,16.422,10.105,11.0,15.429,17.477,20.973,2.256,37.5,0.506,79.818,5.0,2.256,37.214,0.506,79.909,5.0,8.684,8.767,8.848,12.6,14.357,7.776,10.821,7.429,26.826,22.174,2.669,8.551,22.407,8.987,14.207,9.364,13.41,10.278,24.611,12.481,,9.757,5.593,18.045,16.947,10.4,13.848,12.417,16.607,17.92,14.897,14.200,16.154,17.861,18.027
Sector 21 Minería,3.556,C,C,C,C,11.941,C,C,C,C,3.327,C,C,C,C,24.789,C,C,C,C,-6.409,C,C,C,C,9.722,C,C,C,C,8.477,C,C,C,C,3.634,C,C,C,C,18.919,C,C,C,C,C,C,C,C,C,3.453,C,C,C,C,24.750,29.889,39.000,47.000,61.333
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,39.333,C,C,C,C,51.4,C,C,C,C,25.118,C,C,C,C,124.167,C,C,C,C,133.667,C,C,C,C,4.214,C,C,C,C,2.397,C,C,C,C,87.182,C,C,C,C,2.679,C,C,C,C,61.812,C,C,C,C,57.667,7.150,5.650,3.824,4.824,8.706
Sector 23 Construcción,10.412,8.118,15.385,13.045,22.812,11.303,7.818,17.458,13.636,24.8,8.676,8.486,12.552,11.0,19.611,7.767,3.162,73.538,42.824,39.222,8.594,2.791,43.895,37.556,54.125,8.674,7.531,11.667,14.192,15.64,8.267,7.642,12.806,12.069,18.667,8.268,4.583,10.923,4.265,13.391,11.355,12.217,9.963,7.135,3.422,C,1.925,15.636,13.7,13.042,8.405,4.522,8.2,10.897,11.531,6.020,6.405,8.029,8.083,10.467
Sector 31-33 Industrias manufactureras,13.143,11.042,15.4,17.118,15.367,18.455,12.75,17.39,20.545,23.346,5.775,3.25,8.175,10.189,7.947,10.113,12.556,13.367,14.321,4.842,11.068,13.844,16.394,13.18,11.739,2.18,1.86,1.87,1.96,1.792,2.534,1.894,2.726,1.831,1.814,13.574,10.759,10.899,9.237,10.118,4.904,5.981,4.56,4.681,3.881,,9.296,3.109,9.486,8.155,21.833,17.457,13.6,17.094,16.448,11.714,12.632,13.471,15.667,14.250
Sector 43 Comercio al por mayor,13.214,13.077,14.478,16.042,16.737,17.258,13.24,16.571,21.118,19.471,10.407,13.308,13.5,15.038,15.7,13.808,16.083,21.571,29.0,861.0,9.27,16.739,15.462,15.056,0.823,11.071,11.036,12.458,15.1,13.048,10.593,10.29,11.214,13.75,12.773,8.953,7.657,10.241,18.375,12.68,6.405,7.488,11.24,17.52,11.08,,11.382,7.227,7.333,14.667,9.971,10.061,10.517,21.818,20.25,10.538,11.320,13.381,15.000,14.684
Sector 46 Comercio al por menor,8.25,8.139,9.576,7.909,8.033,8.824,9.0,9.625,8.909,9.241,8.0,7.676,9.697,7.485,7.516,8.684,8.118,0.326,3.81,7.898,8.032,7.8,0.116,3.831,7.714,8.531,8.793,9.519,10.308,9.115,7.974,7.316,7.75,7.324,7.656,8.455,7.515,8.517,10.107,6.323,5.292,4.8,5.682,5.636,5.829,,9.135,7.66,7.421,6.268,8.0,7.576,7.767,6.167,6.935,8.556,8.462,9.125,9.783,9.545
"Sector 48-49 Transportes, correos y almacenamiento",7.528,7.556,5.062,7.512,6.604,8.758,9.222,4.953,8.0,7.605,6.3,6.17,5.091,6.83,5.83,13.3,11.682,5.438,19.222,1.32,13.5,11.727,5.316,18.054,1.333,6.053,6.026,3.865,4.943,4.056,6.057,7.255,4.932,4.333,4.04,6.25,7.25,3.756,6.026,9.1,9.609,13.8,10.4,19.556,1.298,,4.831,8.923,7.44,7.552,17.72,15.5,12.2,8.574,8.2,7.474,3.143,2.746,3.082,3.915
Sector 51 Información en medios masivos,50.7,15.333,5.6,12.231,C,44.385,17.333,4.333,19.375,C,59.143,12.538,4.667,7.087,C,45.556,16.684,,9.5,C,42.25,22.2,,9.75,C,9.593,8.188,1.579,10.55,C,44.625,5.107,10.0,49.571,C,6.618,4.636,0.348,16.8,C,20.273,11.731,0.7,24.545,C,C,19.737,0.273,20.619,C,58.545,18.056,8.0,68.0,C,5.957,6.237,6.030,10.120,7.720
Sector 52 Servicios financieros y de seguros,344.0,275.0,255.0,162.5,161.0,82.75,223.0,129.0,94.0,95.75,354.0,319.0,311.5,218.0,253.0,134.5,410.0,,588.0,176.5,154.5,425.0,106.0,500.0,153.5,28.429,44.667,33.571,29.0,37.5,170.0,179.0,115.0,185.0,107.0,7.545,57.5,56.5,16.667,78.8,40.667,47.4,48.286,28.067,45.0,C,59.4,15.611,27.211,22.333,122.333,195.5,100.5,154.0,69.75,2.957,6.056,5.394,6.105,5.816
