Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.004,0.029,0.026,0.011,0.005,0.002,0.019,0.024,0.007,0.003,0.005,0.035,0.029,0.016,0.006,0.001,-0.005,0.001,0.002,-0.0,0.001,0.004,0.001,0.002,-0.0,0.009,0.019,0.02,0.021,0.022,0.002,0.018,0.028,0.021,0.006,0.002,0.01,0.02,0.003,0.002,0.005,0.008,0.171,0.151,0.004,C,0.002,0.029,0.051,0.013,0.002,0.004,0.036,0.015,0.024,0.045,0.083,0.082,0.066,0.085
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.108,0.192,0.091,0.059,0.158
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.245,0.245,0.261,0.245,0.204
Sector 23 Construcción,0.018,0.01,0.009,C,0.002,0.018,0.01,0.008,C,0.002,0.019,0.01,0.011,C,0.003,0.046,0.016,0.004,C,-0.0,0.053,0.016,0.004,C,C,0.029,0.02,0.018,C,0.006,0.013,0.014,0.017,C,0.003,0.037,0.022,0.026,C,0.003,0.029,0.012,0.011,C,0.003,C,0.01,0.015,C,0.003,0.029,0.026,0.019,C,0.004,0.061,0.050,0.049,0.018,0.038
Sector 31-33 Industrias manufactureras,0.021,0.008,0.011,0.01,0.007,0.022,0.007,0.012,0.01,0.008,0.018,0.008,0.007,0.008,0.006,0.005,-0.015,0.002,-0.004,0.06,-0.006,0.013,0.002,0.001,0.032,0.024,0.021,0.018,0.015,0.012,0.017,0.014,0.011,0.013,0.006,0.034,0.01,0.002,0.007,0.014,0.009,0.008,0.008,0.007,0.003,C,0.024,0.004,0.01,0.003,0.011,0.017,0.01,0.014,0.011,0.097,0.101,0.105,0.096,0.098
Sector 43 Comercio al por mayor,0.05,0.065,0.07,0.064,0.073,0.025,0.063,0.053,0.069,0.064,0.063,0.065,0.079,0.063,0.075,0.065,0.073,0.12,0.037,-0.077,0.039,0.069,0.049,0.013,0.069,0.066,0.073,0.069,0.079,0.072,0.07,0.069,0.071,0.074,0.066,0.052,0.092,0.066,0.067,0.086,0.038,0.045,0.044,0.048,0.022,C,0.109,0.017,0.02,0.019,0.024,0.066,0.046,0.051,0.065,0.094,0.086,0.075,0.087,0.097
Sector 46 Comercio al por menor,0.048,0.046,0.039,0.04,0.04,0.042,0.039,0.036,0.04,0.042,0.05,0.051,0.041,0.041,0.039,0.061,0.057,-0.006,0.023,0.021,0.062,0.031,-0.004,0.025,0.023,0.073,0.073,0.067,0.062,0.066,0.052,0.054,0.059,0.043,0.045,0.091,0.072,0.087,0.075,0.069,0.048,0.048,0.045,0.042,0.046,0.0,0.041,0.025,0.039,0.029,0.053,0.046,0.043,0.055,0.045,0.094,0.088,0.088,0.086,0.087
"Sector 48-49 Transportes, correos y almacenamiento",0.033,0.012,0.022,0.015,0.013,0.041,0.017,0.028,0.018,0.014,0.025,0.008,0.015,0.012,0.013,0.031,0.006,0.016,-0.001,0.037,0.024,0.006,0.016,-0.001,0.037,0.056,0.022,0.034,0.014,0.019,0.031,0.008,0.024,0.011,0.017,0.071,0.036,0.027,0.03,0.029,0.037,0.01,0.016,0.021,0.003,C,0.003,0.019,0.008,0.008,0.043,0.019,0.009,0.011,0.022,0.061,0.025,0.021,0.023,0.020
Sector 51 Información en medios masivos,0.009,0.003,0.001,0.008,0.011,0.009,0.003,0.001,0.009,0.01,0.009,0.004,0.001,0.008,0.012,0.005,0.003,C,-0.0,0.0,0.008,0.005,C,0.0,C,0.017,0.01,0.001,0.018,0.01,0.011,0.004,0.001,0.02,0.006,0.023,0.014,0.002,0.009,0.004,0.011,0.015,0.004,0.008,0.009,C,0.006,0.001,0.003,0.004,0.01,0.007,0.008,0.004,0.015,0.066,0.068,0.078,0.095,0.104
Sector 52 Servicios financieros y de seguros,0.014,0.067,0.02,0.035,0.035,0.009,0.043,0.027,0.036,0.022,0.018,0.087,0.017,0.033,0.049,0.0,0.013,0.26,0.018,0.039,-0.001,0.005,0.211,0.019,0.034,0.021,0.04,0.046,0.02,0.026,0.018,0.045,0.05,0.018,0.025,0.018,0.05,0.036,0.023,0.022,0.013,0.042,0.041,0.009,0.028,C,0.077,0.014,0.007,0.018,0.032,0.028,0.058,0.028,0.016,0.033,0.058,0.053,0.032,0.032
