Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,C,C,0.001,C,C,C,C,0.001,C,C,C,C,0.001,C,C,C,C,0.007,C,C,C,C,0.007,C,C,C,C,0.003,C,C,C,C,0.004,C,C,C,C,0.0,C,C,C,C,0.004,C,C,C,C,0.001,C,C,C,C,0.003,C,0.001,0.001,0.004,0.006,0.005
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.135,0.231,0.318,0.235,0.263
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.102,0.113,0.109,0.122,0.074
Sector 23 Construcción,0.263,0.301,0.22,0.238,0.169,0.267,0.306,0.209,0.252,0.155,0.256,0.291,0.238,0.214,0.191,0.351,0.758,0.013,-0.816,0.24,0.293,0.788,0.017,-0.705,0.274,0.181,0.172,0.161,0.195,0.213,0.244,0.166,0.156,0.224,0.244,0.185,0.223,0.163,0.403,0.2,0.275,0.21,0.296,0.326,0.287,0.0,0.833,0.323,0.324,0.098,0.303,0.365,0.259,0.26,0.192,0.173,0.176,0.176,0.180,0.159
Sector 31-33 Industrias manufactureras,0.256,0.326,0.229,0.214,0.282,0.222,0.246,0.169,0.18,0.204,0.309,0.566,0.406,0.286,0.367,0.049,0.274,0.245,0.095,0.39,0.098,0.25,0.193,0.09,0.335,0.388,0.465,0.448,0.457,0.471,0.395,0.474,0.43,0.467,0.487,0.057,0.036,0.008,0.056,0.376,0.345,0.358,0.349,0.405,0.426,C,0.257,0.518,0.338,0.254,0.145,0.199,0.186,0.204,0.259,0.184,0.209,0.211,0.205,0.201
Sector 43 Comercio al por mayor,0.192,0.226,0.231,0.224,0.216,0.176,0.218,0.247,0.208,0.215,0.2,0.23,0.222,0.229,0.217,0.238,0.18,0.079,0.185,0.758,0.237,0.13,0.15,0.166,0.187,0.196,0.22,0.232,0.23,0.267,0.239,0.222,0.232,0.219,0.291,0.184,0.213,0.267,0.231,0.222,0.3,0.216,0.295,0.208,0.428,C,0.138,0.44,0.428,0.343,0.108,0.191,0.237,0.187,0.176,0.173,0.201,0.207,0.197,0.192
Sector 46 Comercio al por menor,0.23,0.236,0.233,0.264,0.257,0.225,0.226,0.239,0.249,0.273,0.232,0.244,0.229,0.27,0.252,0.176,0.199,0.416,0.366,0.188,0.195,0.199,0.391,0.356,0.243,0.203,0.221,0.234,0.232,0.253,0.211,0.24,0.234,0.229,0.267,0.161,0.179,0.188,0.208,0.368,0.211,0.251,0.258,0.25,0.279,0.0,0.153,0.212,0.202,0.283,0.206,0.196,0.221,0.247,0.244,0.212,0.224,0.243,0.239,0.248
"Sector 48-49 Transportes, correos y almacenamiento",0.132,0.148,0.127,0.115,0.177,0.116,0.1,0.127,0.129,0.189,0.147,0.185,0.127,0.102,0.168,0.058,0.079,0.122,0.109,0.212,0.057,0.079,0.126,0.13,0.213,0.143,0.122,0.142,0.149,0.16,0.131,0.109,0.127,0.137,0.151,0.105,0.095,0.127,0.142,0.09,0.113,0.089,0.105,0.129,0.671,C,0.328,0.099,0.1,0.098,0.125,0.179,0.135,0.134,0.127,0.125,0.135,0.146,0.154,0.126
Sector 51 Información en medios masivos,0.148,0.111,0.264,0.651,0.351,0.127,0.113,0.285,0.613,0.311,0.177,0.107,0.246,0.678,0.383,0.442,0.025,0.412,0.907,0.164,0.504,0.056,-1.262,0.905,0.177,0.284,0.16,0.177,0.453,0.446,0.18,0.064,0.31,0.156,0.616,0.2,0.247,0.18,0.74,0.294,0.161,0.066,0.263,0.374,0.236,C,0.314,0.205,0.261,0.23,0.102,0.048,0.257,0.674,0.18,0.160,0.199,0.169,0.154,0.163
Sector 52 Servicios financieros y de seguros,0.278,0.198,0.188,0.206,0.195,0.301,0.258,0.285,0.228,0.174,0.259,0.147,0.145,0.159,0.22,0.159,0.01,0.3,0.132,0.025,0.089,0.038,0.244,0.148,0.032,0.269,0.227,0.249,0.211,0.202,0.27,0.194,0.3,0.192,0.206,0.169,0.121,0.053,0.33,0.17,0.245,0.287,0.221,0.349,0.189,0.0,0.13,0.317,0.268,0.188,0.18,0.178,0.208,0.304,0.229,0.236,0.190,0.237,0.220,0.207
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.25,0.262,0.41,0.244,0.172,0.202,0.198,0.418,0.238,0.206,0.284,0.363,0.399,0.248,0.155,0.085,0.585,0.202,0.507,0.317,0.077,0.554,0.194,0.5,0.345,0.312,0.363,0.385,0.264,0.274,0.561,0.527,0.314,0.274,0.294,0.308,0.121,0.198,0.144,0.521,0.393,0.538,0.301,0.137,0.179,0.0,0.485,0.189,0.093,0.149,0.083,0.245,0.27,0.199,0.123,0.211,0.227,0.260,0.218,0.183
"Sector 54 Servicios profesionales, científicos y técnicos",0.44,0.391,0.596,0.264,0.328,0.337,0.453,0.69,0.304,0.392,0.5,0.352,0.397,0.24,0.292,0.883,0.592,0.308,0.556,-0.107,0.885,0.588,0.288,0.554,0.324,0.202,0.259,0.245,0.176,0.205,0.239,0.199,0.237,0.145,0.25,0.192,0.391,0.857,0.271,0.211,0.227,0.324,0.642,0.223,0.208,C,0.139,0.848,0.169,0.213,0.722,0.375,0.619,0.289,0.232,0.173,0.196,0.198,0.196,0.186
