Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.043,0.072,0.063,0.025,0.021,0.024,0.048,0.061,0.025,0.022,0.062,0.09,0.066,0.026,0.021,0.045,0.206,0.019,0.003,0.674,0.045,0.204,0.019,0.003,0.674,0.057,0.067,0.075,0.043,0.042,0.052,0.201,0.102,0.112,0.036,0.022,0.059,0.06,0.015,0.014,0.105,0.201,0.118,0.185,0.036,0.0,0.126,0.096,0.184,0.043,0.029,0.04,0.038,0.042,0.067,0.171,0.125,0.076,0.107,0.086
Sector 21 Minería,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,0.108,0.038,0.000,0.000,0.053
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.102,0.094,0.109,0.102,0.093
Sector 23 Construcción,C,C,C,0.003,0.002,C,C,C,0.004,0.003,C,C,C,0.002,0.001,C,C,C,-0.007,0.012,C,C,C,-0.006,0.016,C,C,C,0.005,0.003,C,C,C,0.004,0.003,C,C,C,0.002,0.009,C,C,C,0.005,0.001,C,C,C,0.004,0.002,C,C,C,0.003,0.004,0.007,0.009,0.008,0.016,0.015
Sector 31-33 Industrias manufactureras,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.001,0.001,-0.007,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.014,0.008,0.005,0.005,0.003,0.007,0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.0,0.002,0.004,0.002,0.002,0.002,0.001,0.0,0.003,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.025,0.027,0.027,0.026,0.021
Sector 43 Comercio al por mayor,0.021,0.01,0.006,0.01,0.012,0.009,0.009,0.004,0.019,0.01,0.028,0.01,0.007,0.007,0.012,0.017,0.023,-0.001,-0.002,0.081,0.004,0.038,0.002,0.004,0.01,0.019,0.014,0.009,0.018,0.011,0.022,0.013,0.006,0.014,0.009,0.011,0.014,0.006,0.018,0.006,0.015,0.013,0.012,0.01,0.016,C,0.025,0.005,0.057,0.005,0.007,0.022,0.007,0.032,0.015,0.019,0.021,0.020,0.024,0.016
Sector 46 Comercio al por menor,0.022,0.017,0.018,0.018,0.026,0.017,0.016,0.014,0.015,0.031,0.023,0.018,0.02,0.02,0.024,0.016,0.023,-0.003,0.022,-0.01,0.014,0.026,-0.001,0.014,-0.007,0.024,0.026,0.023,0.024,0.022,0.02,0.019,0.019,0.019,0.018,0.028,0.032,0.028,0.019,0.022,0.03,0.021,0.032,0.019,0.068,0.0,0.02,0.027,0.015,0.08,0.022,0.024,0.017,0.014,0.021,0.030,0.030,0.034,0.032,0.027
"Sector 48-49 Transportes, correos y almacenamiento",0.008,0.007,0.003,0.004,0.005,0.003,0.003,0.002,0.005,0.005,0.012,0.01,0.004,0.004,0.005,0.001,0.001,0.0,0.002,-0.0,0.001,0.001,0.0,0.001,0.0,0.009,0.006,0.005,0.006,0.004,0.012,0.006,0.004,0.005,0.004,0.001,0.003,0.002,0.008,0.005,0.022,0.018,0.007,0.006,0.003,0.0,0.002,0.003,0.014,0.03,0.003,0.001,0.002,0.006,0.002,0.019,0.021,0.018,0.015,0.017
Sector 51 Información en medios masivos,0.004,0.001,0.002,C,C,0.003,0.001,0.002,C,C,0.004,0.0,0.002,C,C,0.001,0.0,-0.002,C,C,0.001,0.001,0.003,C,C,0.015,0.006,0.009,C,C,0.009,0.004,0.002,C,C,0.01,0.014,0.004,C,C,0.008,0.004,0.005,C,C,C,0.004,0.049,C,C,0.001,0.0,0.004,C,C,0.051,0.035,0.062,0.032,0.040
Sector 52 Servicios financieros y de seguros,0.011,0.018,0.019,0.024,0.036,0.012,0.024,0.027,0.023,0.028,0.011,0.013,0.015,0.026,0.046,-0.001,C,0.012,0.005,-0.003,0.002,C,0.01,0.005,0.106,0.026,0.014,0.022,0.017,0.02,0.019,0.014,0.022,0.016,0.018,0.016,0.016,0.017,0.01,0.017,0.031,0.014,0.021,0.011,0.018,C,0.015,0.011,0.011,0.014,0.02,0.017,0.109,0.033,0.016,0.050,0.036,0.043,0.040,0.032
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.003,0.014,0.01,0.005,0.005,0.004,0.015,0.006,0.004,0.006,0.003,0.011,0.015,0.007,0.005,0.0,0.008,0.003,0.006,-0.005,0.0,0.005,0.002,0.006,-0.005,0.017,0.024,0.019,0.02,0.015,0.006,0.007,0.007,0.005,0.007,0.001,0.067,0.008,0.001,0.002,0.02,0.018,0.023,0.015,0.016,C,0.011,0.017,0.009,0.012,0.003,0.028,0.02,0.022,0.024,0.029,0.041,0.043,0.039,0.030
