Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.486,0.618,0.47,0.74,0.76,0.396,0.716,0.626,0.713,0.739,0.576,0.55,0.324,0.769,0.776,0.185,0.525,0.039,0.878,0.03,0.185,0.521,0.039,0.879,0.03,0.33,0.377,0.292,0.378,0.402,0.451,0.422,0.208,0.617,0.51,0.323,0.59,0.605,0.692,0.824,0.618,0.523,0.37,0.443,0.649,0.0,0.683,0.33,0.397,0.644,0.624,0.637,0.447,0.465,0.448,0.581,0.639,0.630,0.643,0.667
Sector 21 Minería,0.192,C,C,C,C,0.406,C,C,C,C,0.183,C,C,C,C,0.942,C,C,C,C,0.987,C,C,C,C,0.525,C,C,C,C,0.551,C,C,C,C,0.149,C,C,C,C,0.7,C,C,C,C,C,C,C,C,C,0.328,C,C,C,C,0.297,0.269,0.273,0.235,0.368
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,0.472,C,C,C,C,0.514,C,C,C,C,0.427,C,C,C,C,0.745,C,C,C,C,0.802,C,C,C,C,0.118,C,C,C,C,0.139,C,C,C,C,0.959,C,C,C,C,0.075,C,C,C,C,0.989,C,C,C,C,0.519,0.143,0.113,0.065,0.082,0.148
Sector 23 Construcción,0.354,0.276,0.4,0.287,0.365,0.373,0.258,0.419,0.3,0.372,0.321,0.314,0.364,0.264,0.353,0.233,0.117,0.956,0.728,0.353,0.275,0.12,0.834,0.676,0.433,0.373,0.369,0.385,0.369,0.391,0.372,0.405,0.397,0.35,0.392,0.339,0.22,0.426,0.145,0.308,0.352,0.562,0.269,0.264,0.154,C,0.102,0.344,0.274,0.313,0.353,0.208,0.328,0.316,0.369,0.301,0.269,0.281,0.291,0.314
Sector 31-33 Industrias manufactureras,0.46,0.53,0.616,0.582,0.461,0.609,0.663,0.713,0.678,0.607,0.231,0.13,0.327,0.377,0.302,0.809,0.339,0.401,0.802,0.092,0.653,0.443,0.541,0.804,0.27,0.109,0.093,0.086,0.098,0.086,0.147,0.125,0.169,0.119,0.107,0.828,0.893,0.97,0.896,0.344,0.255,0.317,0.228,0.22,0.229,0.0,0.502,0.199,0.332,0.579,0.655,0.611,0.612,0.547,0.477,0.246,0.240,0.229,0.235,0.228
Sector 43 Comercio al por mayor,0.37,0.34,0.333,0.385,0.318,0.535,0.331,0.348,0.359,0.331,0.281,0.346,0.324,0.391,0.314,0.359,0.386,0.453,0.174,0.861,0.343,0.385,0.402,0.271,0.204,0.31,0.309,0.299,0.302,0.274,0.286,0.319,0.314,0.33,0.281,0.385,0.268,0.297,0.294,0.317,0.237,0.307,0.281,0.438,0.277,0.0,0.387,0.159,0.22,0.264,0.688,0.332,0.305,0.24,0.243,0.274,0.283,0.281,0.285,0.279
Sector 46 Comercio al por menor,0.297,0.293,0.316,0.261,0.241,0.3,0.306,0.308,0.294,0.268,0.296,0.284,0.32,0.247,0.233,0.33,0.276,-0.056,0.221,0.387,0.249,0.273,-0.034,0.272,0.324,0.273,0.255,0.257,0.268,0.237,0.303,0.278,0.279,0.271,0.245,0.279,0.248,0.247,0.283,0.196,0.254,0.24,0.25,0.248,0.239,0.0,0.338,0.36,0.282,0.257,0.288,0.25,0.233,0.222,0.215,0.231,0.220,0.219,0.225,0.210
"Sector 48-49 Transportes, correos y almacenamiento",0.271,0.272,0.243,0.308,0.317,0.289,0.249,0.213,0.296,0.327,0.252,0.29,0.28,0.321,0.309,0.532,0.257,0.435,0.692,0.128,0.54,0.258,0.42,0.668,0.128,0.23,0.229,0.201,0.262,0.219,0.212,0.341,0.291,0.234,0.202,0.225,0.145,0.154,0.229,0.273,0.221,0.276,0.26,0.352,0.17,0.0,0.285,0.232,0.372,0.506,0.443,0.341,0.488,0.463,0.41,0.284,0.176,0.195,0.225,0.231
Sector 51 Información en medios masivos,0.507,0.414,0.028,0.159,C,0.577,0.468,0.013,0.155,C,0.414,0.326,0.042,0.163,C,0.41,0.317,-0.008,0.038,C,0.338,0.333,0.025,0.039,C,0.259,0.262,0.03,0.211,C,0.357,0.143,0.1,0.347,C,0.225,0.153,0.008,0.084,C,0.446,0.305,0.007,0.27,C,C,0.375,0.006,0.433,C,0.644,0.325,0.024,0.136,C,0.274,0.237,0.199,0.253,0.193
Sector 52 Servicios financieros y de seguros,0.344,0.275,0.51,0.325,0.322,0.331,0.223,0.258,0.376,0.383,0.354,0.319,0.623,0.218,0.253,0.538,0.82,0.139,0.588,0.353,0.618,0.85,0.106,0.5,0.307,0.199,0.268,0.235,0.29,0.3,0.34,0.358,0.23,0.37,0.321,0.249,0.23,0.678,0.15,0.394,0.244,0.237,0.338,0.421,0.405,C,0.297,0.281,0.517,0.335,0.367,0.391,0.201,0.308,0.279,0.136,0.218,0.178,0.232,0.221
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.187,0.286,0.266,0.46,0.401,0.232,0.273,0.282,0.549,0.388,0.156,0.305,0.243,0.387,0.408,0.261,0.263,0.405,0.296,0.289,0.241,0.256,0.405,0.3,0.3,0.277,0.219,0.231,0.328,0.273,0.267,0.177,0.335,0.419,0.373,0.316,0.659,0.589,0.632,0.259,0.303,0.132,0.288,0.544,0.296,0.0,0.146,0.4,0.71,0.372,0.276,0.242,0.273,0.416,0.376,0.239,0.205,0.190,0.204,0.177
"Sector 54 Servicios profesionales, científicos y técnicos",0.309,0.367,0.204,0.423,0.307,0.319,0.296,0.177,0.429,0.287,0.303,0.41,0.26,0.419,0.318,0.074,0.22,0.275,0.168,2.138,0.074,0.219,0.25,0.171,0.878,0.326,0.321,0.288,0.417,0.341,0.346,0.536,0.373,0.52,0.375,0.288,0.206,0.046,0.326,0.335,0.281,0.273,0.158,0.353,0.299,0.0,0.303,0.076,0.519,0.393,0.129,0.358,0.156,0.395,0.246,0.277,0.261,0.245,0.257,0.244
Sector 55 Dirección y administración de grupos empresariales o corporativos,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.500,1.000,0.500,1.000,1.000
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.428,0.305,0.319,0.437,0.24,0.471,0.281,0.334,0.406,0.167,0.385,0.312,0.311,0.452,0.277,0.566,0.024,0.398,0.215,0.241,0.561,0.024,0.41,0.203,0.244,0.256,0.27,0.285,0.384,0.339,0.424,0.329,0.285,0.375,0.332,0.203,0.171,0.357,0.182,0.225,0.27,0.218,0.409,0.414,0.166,0.0,0.309,0.564,0.211,0.115,0.329,0.226,0.09,0.293,0.131,0.344,0.302,0.253,0.302,0.262
