Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,J000A_2003,J000A_2008,J000A_2013,J000A_2018,J000A_2023,K042A_2003,K042A_2008,K042A_2013,K042A_2018,K042A_2023,K412A_2003,K412A_2008,K412A_2013,K412A_2018,K412A_2023,K976A_2003,K976A_2008,K976A_2013,K976A_2018,K976A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023,UE_2003,UE_2008,UE_2013,UE_2018,UE_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.067,0.046,0.021,0.04,0.04,0.080,0.042,0.021,0.038,0.045,0.057,0.050,0.021,0.044,0.037,0.082,0.014,0.077,0.011,0.006,0.082,0.014,0.077,0.011,0.006,0.038,0.043,0.033,0.03,0.028,0.058,0.039,0.028,0.023,0.023,0.121,0.069,0.027,0.077,0.058,0.066,0.039,0.036,0.018,0.052,,0.070,0.059,0.022,0.038,0.060,0.046,0.036,0.028,0.025,0.039,0.045,0.039,0.036,0.037
Sector 21 Minería,0.054,0.036,C,C,C,0.034,0.047,C,C,C,0.055,0.034,C,C,C,0.038,0.141,C,C,C,-0.154,0.145,C,C,C,0.054,0.035,C,C,C,0.065,0.059,C,C,C,0.041,0.036,C,C,C,0.037,0.018,C,C,C,,0.013,C,C,C,0.095,0.040,C,C,C,0.012,0.009,0.007,0.005,0.006
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.048,0.050,0.007,0.008,0.012,0.071,0.050,0.004,0.007,0.01,0.030,0.050,0.009,0.012,0.017,0.070,0.050,0.011,0.002,0.006,0.071,0.049,0.011,0.002,0.006,0.037,0.044,0.027,0.028,0.028,0.035,0.041,0.009,0.047,0.058,0.080,0.062,0.001,0.008,0.011,0.009,0.007,0.023,0.009,0.028,,0.018,0.005,0.011,0.016,0.046,0.053,0.003,0.004,0.009,0.020,0.020,0.017,0.017,0.017
Sector 23 Construcción,0.034,0.034,0.026,0.022,0.016,0.033,0.033,0.024,0.022,0.015,0.037,0.037,0.029,0.024,0.018,0.030,0.037,0.013,0.017,0.009,0.032,0.043,0.019,0.018,0.008,0.043,0.049,0.033,0.026,0.025,0.045,0.053,0.031,0.029,0.021,0.041,0.048,0.039,0.034,0.023,0.031,0.046,0.027,0.037,0.045,,0.053,0.022,0.02,0.024,0.042,0.046,0.04,0.029,0.032,0.050,0.042,0.035,0.036,0.030
Sector 31-33 Industrias manufactureras,0.035,0.048,0.04,0.034,0.03,0.033,0.052,0.041,0.033,0.026,0.040,0.040,0.04,0.037,0.038,0.080,0.027,0.03,0.056,0.019,0.059,0.032,0.033,0.061,0.023,0.050,0.050,0.046,0.05,0.048,0.058,0.066,0.062,0.065,0.059,0.061,0.083,0.089,0.097,0.034,0.052,0.053,0.05,0.047,0.059,,0.054,0.064,0.035,0.071,0.030,0.035,0.045,0.032,0.029,0.021,0.019,0.017,0.015,0.016
Sector 43 Comercio al por mayor,0.028,0.026,0.023,0.024,0.019,0.031,0.025,0.021,0.017,0.017,0.027,0.026,0.024,0.026,0.02,0.026,0.024,0.021,0.006,0.001,0.037,0.023,0.026,0.018,0.248,0.028,0.028,0.024,0.02,0.021,0.027,0.031,0.028,0.024,0.022,0.043,0.035,0.029,0.016,0.025,0.037,0.041,0.025,0.025,0.025,,0.034,0.022,0.03,0.018,0.069,0.033,0.029,0.011,0.012,0.026,0.025,0.021,0.019,0.019
Sector 46 Comercio al por menor,0.036,0.036,0.033,0.033,0.03,0.034,0.034,0.032,0.033,0.029,0.037,0.037,0.033,0.033,0.031,0.038,0.034,-0.172,0.058,0.049,0.031,0.035,-0.293,0.071,0.042,0.032,0.029,0.027,0.026,0.026,0.038,0.038,0.036,0.037,0.032,0.033,0.033,0.029,0.028,0.031,0.048,0.050,0.044,0.044,0.041,,0.037,0.047,0.038,0.041,0.036,0.033,0.03,0.036,0.031,0.027,0.026,0.024,0.023,0.022
"Sector 48-49 Transportes, correos y almacenamiento",0.036,0.036,0.048,0.041,0.048,0.033,0.027,0.043,0.037,0.043,0.040,0.047,0.055,0.047,0.053,0.040,0.022,0.08,0.036,0.097,0.040,0.022,0.079,0.037,0.096,0.038,0.038,0.052,0.053,0.054,0.035,0.047,0.059,0.054,0.05,0.036,0.020,0.041,0.038,0.03,0.023,0.020,0.025,0.018,0.131,,0.059,0.026,0.05,0.067,0.025,0.022,0.04,0.054,0.05,0.038,0.056,0.071,0.073,0.059
Sector 51 Información en medios masivos,0.010,0.027,0.005,0.013,0.007,0.013,0.027,0.003,0.008,0.005,0.007,0.026,0.009,0.023,0.01,0.009,0.019,-0.0,0.004,0.002,0.008,0.015,0.0,0.004,0.002,0.027,0.032,0.019,0.02,0.021,0.008,0.028,0.01,0.007,0.016,0.034,0.033,0.023,0.005,0.019,0.022,0.026,0.01,0.011,0.011,,0.019,0.022,0.021,0.006,0.011,0.018,0.003,0.002,0.001,0.046,0.038,0.033,0.025,0.025
Sector 52 Servicios financieros y de seguros,0.001,0.001,0.002,0.002,0.002,0.004,0.001,0.002,0.004,0.004,0.001,0.001,0.002,0.001,0.001,0.004,0.002,0.0,0.001,0.002,0.004,0.002,0.001,0.001,0.002,0.007,0.006,0.007,0.01,0.008,0.002,0.002,0.002,0.002,0.003,0.033,0.004,0.012,0.009,0.005,0.006,0.005,0.007,0.015,0.009,,0.005,0.018,0.019,0.015,0.003,0.002,0.002,0.002,0.004,0.046,0.036,0.033,0.038,0.038
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.031,0.031,0.022,0.014,0.017,0.028,0.034,0.023,0.013,0.012,0.034,0.028,0.021,0.014,0.021,0.097,0.011,0.015,0.013,0.019,0.104,0.012,0.017,0.014,0.02,0.034,0.031,0.026,0.02,0.024,0.047,0.039,0.019,0.021,0.021,0.028,0.055,0.03,0.025,0.019,0.042,0.039,0.022,0.021,0.013,,0.024,0.018,0.023,0.011,0.052,0.014,0.023,0.019,0.016,0.037,0.032,0.028,0.028,0.032
"Sector 54 Servicios profesionales, científicos y técnicos",0.026,0.026,0.023,0.012,0.014,0.021,0.023,0.029,0.012,0.013,0.031,0.029,0.015,0.012,0.014,0.119,0.026,0.013,0.016,0.005,0.122,0.026,0.013,0.009,0.014,0.019,0.025,0.019,0.015,0.017,0.013,0.025,0.015,0.013,0.015,0.027,0.039,0.059,0.019,0.02,0.037,0.044,0.055,0.024,0.028,,0.039,0.084,0.019,0.028,0.061,0.033,0.032,0.013,0.022,0.034,0.033,0.027,0.024,0.025
Sector 55 Dirección y administración de grupos empresariales o corporativos,0.008,0.001,C,C,C,0.007,0.006,C,C,C,0.008,0.000,C,C,C,0.003,0.000,C,C,C,0.002,0.000,C,C,C,0.096,0.001,C,C,C,0.005,0.001,C,C,C,0.004,0.003,C,C,C,0.002,0.002,C,C,C,,0.001,C,C,C,0.001,0.000,C,C,C,0.023,0.015,0.006,0.008,0.003
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.022,0.022,0.018,0.015,0.014,0.031,0.017,0.02,0.016,0.013,0.017,0.024,0.016,0.015,0.015,0.020,0.007,0.002,0.015,0.017,0.023,0.008,0.002,0.016,0.017,0.023,0.021,0.018,0.013,0.018,0.019,0.022,0.017,0.013,0.02,0.041,0.023,0.018,0.033,0.018,0.024,0.022,0.024,0.017,0.01,,0.032,0.03,0.022,0.013,0.019,0.018,0.026,0.021,0.015,0.022,0.024,0.020,0.017,0.017
Sector 61 Servicios educativos,0.025,0.024,0.034,0.03,0.025,0.024,0.022,0.025,0.032,0.023,0.025,0.024,0.039,0.029,0.026,0.013,0.025,0.048,0.01,0.019,0.014,0.025,0.048,0.01,0.019,0.029,0.028,0.03,0.03,0.027,0.024,0.025,0.036,0.027,0.024,0.022,0.016,0.022,0.095,0.02,0.044,0.031,0.037,0.049,0.044,,0.022,0.021,0.029,0.032,0.022,0.022,0.037,0.028,0.026,0.028,0.029,0.027,0.028,0.027
Sector 62 Servicios de salud y de asistencia social,0.026,0.027,0.024,0.025,0.028,0.024,0.024,0.021,0.024,0.027,0.029,0.030,0.027,0.027,0.029,0.014,0.018,0.018,0.024,0.029,0.014,0.018,0.018,0.024,0.03,0.027,0.029,0.028,0.026,0.027,0.026,0.031,0.028,0.029,0.03,0.038,0.048,0.031,0.027,0.024,0.053,0.045,0.042,0.043,0.043,,0.039,0.029,0.033,0.03,0.028,0.024,0.024,0.026,0.022,0.035,0.032,0.028,0.027,0.027
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.020,0.013,0.015,0.008,0.012,0.021,0.010,0.012,0.006,0.011,0.020,0.017,0.019,0.011,0.012,0.009,0.006,0.012,0.012,0.024,0.009,0.005,0.012,0.013,0.025,0.017,0.019,0.016,0.017,0.021,0.021,0.017,0.011,0.012,0.015,0.017,0.018,0.021,0.01,0.008,0.022,0.018,0.016,0.005,0.018,,0.022,0.014,0.017,0.019,0.015,0.014,0.011,0.015,0.018,0.020,0.021,0.022,0.025,0.029
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.031,0.026,0.024,0.021,0.024,0.028,0.023,0.022,0.021,0.024,0.035,0.030,0.026,0.021,0.025,0.028,0.008,0.016,0.013,0.009,0.022,0.007,0.016,0.013,0.009,0.031,0.027,0.023,0.022,0.023,0.038,0.033,0.03,0.026,0.024,0.029,0.025,0.022,0.022,0.019,0.042,0.035,0.028,0.032,0.032,0.023,0.031,0.028,0.025,0.025,0.027,0.018,0.015,0.016,0.016,0.028,0.027,0.023,0.022,0.024
Sector 81 Otros servicios excepto actividades gubernamentales,0.032,0.025,0.029,0.031,0.031,0.046,0.032,0.026,0.029,0.028,0.019,0.017,0.032,0.033,0.033,0.038,0.032,0.031,0.019,-0.002,0.045,0.033,0.027,0.02,0.037,0.035,0.035,0.033,0.031,0.031,0.033,0.033,0.034,0.033,0.034,0.045,0.054,0.041,0.041,0.03,0.052,0.027,0.044,0.037,0.04,,0.024,0.043,0.042,0.034,0.039,0.035,0.028,0.027,0.023,0.036,0.036,0.033,0.031,0.031
checksum,0.032,0.037,C,C,C,0.033,0.042,C,C,C,0.032,0.030,C,C,C,0.059,0.046,C,C,C,0.055,0.051,C,C,C,0.036,0.034,C,C,C,0.037,0.043,C,C,C,0.059,0.054,C,C,C,0.034,0.033,C,C,C,0.023,0.037,C,C,C,0.037,0.034,C,C,C,0.028,0.027,0.025,0.023,0.024
